Durationinseconds,ResponseId,ProlificID,Age,Gender,HL,Ethnicity,Ethnicity_Other,Education,Income,DTI_1PFD,DTI_2DB,DTI_3PLT,DTI_4PFD,DTI_5DB,DTI_6PLT,DTI_7PFD,DTI_8DB,DTI_9PLT,DTI_10PFD,DTI_11DB,DTI_12PLT,DTI_13PFD,DTI_14DB,DTI_15PLT,DES_1CPN,DES_2NPS,DES_3NPS,DES_4NPS,DES_5CPN,DES_6CPN,DES_7PNS,DES_8CPN,DES_9CPN,DES_10PNS,DES_11PNS,DES_12CPN,DES_13PNS,DES_14NPS,DES_15NPS,DES_16CPN,DES_17PNS,DES_18PNS,DSS_1BC,DSS_2C,DSS_3BC,DSS_4CC,DSS_5BC,DSS_6C,DSS_7CC,DSS_8CC,DSS_9CC,DSS_10BC,DSS_11BC,DSS_12C,DSS_13CC,DSS_14CC,DSS_15C,DSS_16BC,DSS_17BC,DSS_18CC,DSS_19CC,DSS_20C,DSS_21CC,DSS_22C,DSS_23BC,DSS_24C,DSS_25C,DSS_26C,DSS_27C,DSS_28C,DSS_29CC,DSS_30CC,DSS_31C,DSS_32C,Situationdescrip,Situationrating_P,Situationrating_N,PROLIFIC_PID
642,R_Ulovp3FmGBGuH0R,5de579912238364fcdf1a97d,25,Female,Yes,White/Caucasian, ,Bachelor's degree,"$85,000 +",6,2,5,5,2,3,2,5,5,4,2,5,5,6,5,5,6,6,5,2,5,7,5,6,6,6,7,6,6,5,3,6,2,5,4,5,3,3,6,2,2,3,5,2,2,6,5,6,3,2,2,5,2,2,3,6,2,6,3,5,2,2,2,2,5,I was stressed out because I was exposed to my cousin who had COVID symptoms and then later confirmed COVID positive.,0,10,5de579912238364fcdf1a97d
383,R_3j9ENliFTRrmzFc,5c696229bd58280001b4f554,48,Female,No,White/Caucasian, ,Master's degree,"$65,000 - 74,999",4,2,5,4,2,3,4,3,5,5,3,4,4,3,4,6,6,7,7,7,7,7,7,7,7,6,6,6,7,6,7,5,6,3,4,3,3,4,5,3,2,2,5,3,6,6,3,3,4,3,2,3,5,3,5,2,3,3,3,5,3,3,3,3,5,Not comfortable being in public,4,6,5c696229bd58280001b4f554
293,R_3fOufS9s1GSrR6B,57b60487e5b60d0001083aea,37,Male,No,White/Caucasian, ,High school (or GED),"$0 - 14,999",5,1,5,4,1,6,2,3,5,4,2,5,6,1,5,6,6,6,6,3,6,6,5,6,6,6,6,6,6,6,6,6,3,5,4,2,6,4,6,3,3,3,6,2,2,5,4,4,4,2,6,5,4,5,3,4,2,4,5,3,3,5,4,3,5,I have to wear a mask when I go into most stores,8,2,57b60487e5b60d0001083aea
514,R_2960MIQjNCKKGZU,60c29943af9212fdd7840b93,48,Female,No,White/Caucasian, ,Master's degree,"$55,000 - 64,999",5,1,4,6,1,4,5,1,5,5,1,4,6,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,3,3,2,5,5,5,3,3,5,3,5,5,3,4,3,3,4,5,6,2,5,5,3,6,7,6,2,3,5,6,7,My children caught covid and I wa quarantined with them.,0,10,60c29943af9212fdd7840b93
513,R_1eFgbrYVTdv1tqo,5eb944e11834e2016fa31179,20,Male,Yes,White/Caucasian, ,High school (or GED),"$0 - 14,999",5,2,5,5,2,5,4,4,5,4,3,4,5,3,4,6,6,6,6,3,6,6,6,7,6,6,6,5,6,3,6,6,3,3,5,2,3,4,5,3,3,3,4,4,5,5,4,4,3,3,4,5,5,3,5,5,2,3,2,3,3,2,5,3,5,"Because I work as a babysitter with only one family, COVID causes problems every so often when one of the children gets sick; I do not get the chance to work for a few days while the child is tested and recovers from their symptoms. Currently the entire family is sick and as a COVID precaution I have been out of work for a few days.",6,6,5eb944e11834e2016fa31179
722,R_zTsAZKtvE8KuQxP,5ffe6b8b773ec452c1d28adc,37,Male,No,White/Caucasian, ,High school (or GED),"$25,000 - 34,999",4,2,5,5,3,5,4,3,6,5,2,5,5,1,6,5,6,6,5,4,5,6,6,6,7,5,4,3,5,1,5,3,2,3,4,1,2,6,5,6,4,5,4,3,6,5,3,2,2,4,4,1,5,3,2,7,3,6,7,6,1,2,3,6,7,"I got the Johnson & Johnson COVID-19 vaccine in May of 2021. Within the last few weeks, I've been receiving voicemail messages and text messages from the state department encouraging me to get my booster shot. I still haven't gotten my booster shot, and I feel irresponsible for not doing so. I plan to get the booster dose soon.",4,6,5ffe6b8b773ec452c1d28adc
298,R_2QMAcFpcDg3sGEW,5a2111b5bf56cc000176feb5,37,Female,No,Black/African-American, ,Bachelor's degree,"$65,000 - 74,999",5,3,5,5,3,3,3,2,5,4,2,3,6,1,4,6,7,7,7,6,6,5,6,7,6,6,7,7,6,6,7,7,6,4,5,3,5,3,5,3,4,5,4,6,6,5,3,6,2,3,3,4,7,3,4,2,4,5,6,4,3,4,3,3,6,I was exposed to covid at work by one of my coworkers and I was afraid.,0,10,5a2111b5bf56cc000176feb5
418,R_uh8OVXug0c0iRMd,5bb6413cb4dca50001df0096,40,Female,No,White/Caucasian, ,Bachelor's degree,"$45,000 - 54,999",6,1,4,5,2,4,5,1,2,3,2,3,4,2,5,6,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,5,5,3,6,3,5,3,3,2,5,3,5,3,2,5,1,2,2,2,5,3,6,1,5,6,7,5,3,3,2,2,5,I have not seen my friends in a very long time because I have to work too much and my company will not hire more people- like we desperately need to. I am constantly tired and exhausted and worried about overtime but still do not make enough money to move into a new apartment.,3,8,5bb6413cb4dca50001df0096
321,R_3R4K1gSk9ElpzY8,5f4bdebfda9c147c0eff45ff,41,Female,No,White/Caucasian, ,Master's degree,"$85,000 +",4,2,5,4,2,4,4,2,5,3,2,4,4,1,5,5,5,5,5,3,5,5,6,6,5,5,6,5,5,5,6,5,5,3,3,3,3,3,5,3,3,2,3,3,4,5,4,5,3,2,3,3,5,3,5,3,2,3,3,3,3,3,2,3,3,I just tested positive for COVID despite getting boosted and taking precautions.,0,9,5f4bdebfda9c147c0eff45ff
523,R_2wLyysw00Deuda3,6136af5670f0ef22ab913d17,46,Female,Yes,Asian, ,High school (or GED),"$65,000 - 74,999",2,1,6,4,1,1,2,1,4,3,1,4,6,2,2,2,7,7,7,7,7,5,7,7,5,5,6,4,7,7,7,5,3,3,2,6,4,2,5,4,1,3,2,2,2,1,1,4,1,1,2,3,3,4,3,2,3,3,6,2,3,6,1,2,4,"I'm a kidney transplant patient and severely immunocompromised, so I've had to isolate and not be able to do what other non-disabled people are able to do.",3,10,6136af5670f0ef22ab913d17
288,R_3iUAZwneSuSuQ6d,5dd73f21e73e616e37bf44ba,36,Female,No,White/Caucasian, ,Master's degree,"$85,000 +",4,2,5,4,2,3,3,2,3,3,3,2,4,2,4,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,3,3,3,4,3,4,4,3,5,4,3,3,4,5,4,4,3,4,5,4,4,5,4,3,4,4,I am worried about my grandmother living in a nursing home and being exposed to covid.,0,6,5dd73f21e73e616e37bf44ba
417,R_sMsigPdfO2RqXSN,6108d2338dca54b93315a749,20,Female,No,White/Caucasian, ,High school (or GED),"$85,000 +",4,1,5,4,1,1,1,4,5,4,1,5,4,1,4,7,7,7,7,3,7,7,7,7,7,7,7,7,7,6,7,7,2,7,4,3,6,6,6,2,7,2,6,1,4,2,5,7,5,4,2,5,4,3,4,5,4,4,3,4,4,2,5,2,6,"About a month ago, I was sick with COVID. I had a bad fever and terrible back pain. I wasn't able to spend time with my family and I had to eat my meals by myself in my room.",2,8,6108d2338dca54b93315a749
340,R_24HGITIh8Hp8gDC,5c492c7167b61b000190bfe8,43,Male,No,White/Caucasian, ,High school (or GED),"$15,000 - 24,999",5,2,5,4,2,5,3,3,3,3,4,4,4,2,5,6,6,5,5,4,5,6,5,5,5,5,5,5,5,2,5,5,4,5,4,3,5,3,4,4,4,5,4,5,3,4,4,3,4,3,4,3,4,5,4,4,5,5,4,4,3,4,4,4,4,Working with someone who thinks it's fake is exhausting,1,9,5c492c7167b61b000190bfe8
638,R_ZIS59RjAH8IhEk1,60fef776764b4a937769f84e,21,Female,No,Asian, ,High school (or GED),"$0 - 14,999",4,4,4,4,4,4,3,3,4,4,3,4,4,3,4,7,7,7,7,4,5,7,6,5,5,6,6,6,6,4,6,6,2,3,5,3,3,6,6,3,3,4,5,5,7,6,6,5,6,2,5,6,5,3,5,5,3,4,5,5,2,2,5,6,7,I have been breaking out because of the mask wearing.,0,10,60fef776764b4a937769f84e
535,R_2X4cBTRAfUFpkKi,611082ee9fd766aaaf0126db,24,Female,No,Asian, ,Bachelor's degree,"$65,000 - 74,999",4,3,5,5,3,5,4,3,4,4,3,4,5,3,4,5,6,6,6,3,7,6,6,6,5,6,7,7,6,5,5,6,4,6,2,2,2,6,6,4,2,5,4,4,4,5,2,5,5,2,2,4,3,4,4,5,3,6,6,3,3,2,5,6,5,Mom keeps coughing and we're wondering if it's COVID or not,1,8,611082ee9fd766aaaf0126db
423,R_1IHoHDZNaWrW85M,5ce753de5434fd001b47e9fc,26,Male,No,Black/African-American, ,High school (or GED),"$45,000 - 54,999",5,2,4,5,3,5,6,4,4,4,3,5,4,2,5,7,6,7,7,5,5,7,5,5,7,6,4,7,7,5,6,7,5,5,2,3,3,5,4,4,4,5,4,6,6,5,5,4,4,3,3,6,2,2,5,2,3,4,3,4,2,3,5,4,5,I personally have not any had issues or situations related to covid in recent months.,10,0,5ce753de5434fd001b47e9fc
598,R_DUJMTttQ0ussjgB,60fcf16942369a2fb0c093e3,26,Female,No,Asian, ,Master's degree,"$25,000 - 34,999",4,2,5,4,1,3,6,2,4,4,2,4,6,2,3,6,6,6,6,6,7,6,7,7,5,6,6,5,6,7,6,5,5,5,2,3,3,3,4,2,2,3,3,5,6,5,1,3,3,2,5,2,5,2,5,2,4,5,5,2,3,4,2,2,2,A friend told me about an anti-mask protest at the school she teaches at where some students were upset at the principal because they still had to wear masks in the classroom even though the principal and school district have no control over public health guidelines.,1,8,60fcf16942369a2fb0c093e3
561,R_RzAZovP6sSzgaT7,5d8abb245ada2b00018b74ed,32,Female,No,White/Caucasian, ,Bachelor's degree,"$35,000 - 44,999",4,2,5,5,1,3,3,3,4,4,3,3,6,1,4,7,7,7,7,5,7,7,7,7,7,7,7,7,7,6,6,6,4,2,4,2,3,1,4,5,3,3,2,4,5,5,2,4,2,1,4,2,4,1,5,2,4,4,1,6,2,3,3,4,6,"My child who is immuned compromised isn't able to get out and see her friends, so it is hard for the whole family that we are having to be so careful.",5,5,5d8abb245ada2b00018b74ed
693,R_zUbFORFfG59rJUl,59ffb939517dfb00013dadda,34,Male,No,White/Caucasian, ,Master's degree,"$35,000 - 44,999",4,2,5,4,2,4,4,2,5,4,2,5,4,4,4,6,6,5,6,7,6,5,6,6,5,6,6,7,6,4,6,5,6,3,6,3,4,5,4,3,4,3,5,5,5,5,6,5,5,2,5,5,2,3,3,5,2,3,4,5,3,3,6,5,6,My brother was going to come and visit but tested positive for covid so he had to stay home and couldn’t fly on a plane out here,0,10,59ffb939517dfb00013dadda
521,R_1eL7wTY4bPGRlEK,5f4ad4dade24ea6a79e7f3a5,21,Male,Yes, , ,High school (or GED),"$25,000 - 34,999",4,2,5,5,2,5,3,2,5,5,2,3,5,2,4,7,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,3,6,5,5,3,5,3,3,2,3,6,3,3,5,2,3,3,2,5,5,3,2,5,2,5,5,2,6,2,5,6,6,6,I always wear a mask when leaving my home because it's one of the best ways for me to protect myself and others.,10,1,5f4ad4dade24ea6a79e7f3a5
553,R_2q2EUEjv0nZVRvE,6090a9a32b9a685c5cacbbb3,36,Other,No,Other (please specify),mixed race,Bachelor's degree,"$75,000 - 84,999",4,3,5,4,3,2,4,2,5,5,2,5,5,2,5,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,2,7,2,2,6,6,4,3,3,6,4,3,6,6,5,5,6,2,5,5,3,5,2,5,5,4,5,2,3,3,6,4,7,"I still have not gotten a covid jab, and I don't foresee getting one so long as the offerings are limited to the current generation of vaccines. Simply put, I want to wait on more data to be made available for the mRNA vaccines, at least a few years worth before I would even consider getting one.",8,4,6090a9a32b9a685c5cacbbb3
838,R_2Y36PDhViNbMxJV,5da23c68cf775d001724d361,28,Other,No,White/Caucasian, ,High school (or GED),"$0 - 14,999",4,1,4,4,1,4,3,1,4,3,1,4,4,1,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,4,3,5,3,5,6,5,3,5,4,3,3,4,3,4,3,6,3,4,3,3,5,3,5,3,3,3,5,5,"COVID has caused me to worry more about going to the doctor, but I do not trust zoom enough to not be in person.",5,5,5da23c68cf775d001724d361
378,R_6xjSw1G5WfFwSRj,60fde4a578cf2748430c899c,24,Female,No,Asian, ,Bachelor's degree,"$75,000 - 84,999",5,2,5,5,2,5,5,2,5,5,5,5,5,2,5,2,6,2,2,2,6,2,6,2,1,1,5,1,2,3,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,5,6,2,6,I need to get tested every week for work. If I test positive then I cannot work.,2,8,60fde4a578cf2748430c899c
675,R_1YsVr3u0VH33R6N,5fa0ef2435d00916c491c6d5,21,Female,No,White/Caucasian, ,High school (or GED),"$35,000 - 44,999",5,1,6,4,1,2,2,2,1,6,1,1,5,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,7,7,6,1,4,4,6,1,2,2,4,1,4,2,4,3,1,1,1,1,2,6,7,2,4,1,4,4,1,5,1,4,2,2,7,My neighbors who are like grandparents to me got covid and one of them passed away,0,10,5fa0ef2435d00916c491c6d5
472,R_qRERBSrChtAZUaJ,61084a81a1153e551941ddbc,31,Female,No,White/Caucasian, ,High school (or GED),"$35,000 - 44,999",2,2,5,4,2,2,4,2,5,4,2,3,4,1,5,6,6,6,6,6,7,7,6,6,7,7,7,6,6,4,7,6,3,6,4,3,4,5,6,3,6,3,3,3,6,3,3,5,5,2,4,5,5,3,5,3,3,4,6,5,3,4,3,2,5,I had to get a new job because the type of work I usually do has been unavailable.,5,7,61084a81a1153e551941ddbc
316,R_ALtkdc1kHTfOeRz,60182dbd804fd3028b601888,32,Female,No,Black/African-American, ,Master's degree,"$85,000 +",4,3,4,4,3,3,3,4,4,4,3,4,4,2,4,5,5,5,5,4,4,5,5,5,5,5,4,5,5,4,5,5,4,2,2,5,5,4,3,3,3,3,4,3,3,4,4,3,4,3,2,2,3,2,3,1,3,3,2,5,3,4,3,4,4,My office is now mandating going back to work as Covid subsides in our city. This will heavily impact my decision of staying with the company or not.,1,9,60182dbd804fd3028b601888
601,R_3PY5kWvDlNFogXs,5f57120cba207c18f058a62b,25,Female,Yes,White/Caucasian, ,Bachelor's degree,"$65,000 - 74,999",4,2,5,4,2,3,4,1,5,4,3,4,5,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,4,5,6,6,5,4,4,6,6,5,6,5,4,4,4,2,2,5,6,3,6,4,3,4,5,4,3,5,5,5,6,"In the county I work in, they as of friday 02/18 lifted the mandatory mask requirements for public spaces/indoor spaces; I don't feel great about that.",2,6,5f57120cba207c18f058a62b
734,R_3EA6u8mYUFPyQCi,6102ea6d7c2f5376967fa7f9,18,Female,No,White/Caucasian, ,High school (or GED),"$85,000 +",3,1,4,3,1,4,2,2,4,4,3,3,4,2,4,7,7,7,7,5,6,7,7,7,7,7,7,7,7,6,7,7,5,2,5,3,2,5,5,3,2,2,5,2,6,3,2,3,3,2,3,3,5,2,5,3,3,5,3,3,3,5,5,5,6,I don't really have many covid related situations recently. I live in an area where covid has stopped being talked about and I never really hear about any positive tests.,10,0,6102ea6d7c2f5376967fa7f9
731,R_3P5EMYeO1VI5nu8,60ff005a566dbbeff7dd5f6f,26,Female,No,White/Caucasian, ,Bachelor's degree,"$15,000 - 24,999",5,4,4,4,2,3,2,2,4,4,3,4,4,1,5,6,6,6,6,7,6,6,6,6,6,6,6,6,5,5,6,6,5,2,4,3,3,3,4,3,3,1,3,2,4,2,2,3,2,2,2,3,6,5,4,3,4,4,3,5,2,3,3,3,5,My hospital went from wearing regular masks to having to wear N95 masks all the time due to an infection spread to a vulnerable patient.,5,10,60ff005a566dbbeff7dd5f6f
376,R_RUJo0Xvvqw81eUN,5dec1c522911273179e44dbe,20,Male,No,White/Caucasian, ,High school (or GED),"$35,000 - 44,999",5,1,4,5,1,4,4,3,3,4,2,2,5,1,5,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,6,5,2,3,3,3,4,4,2,2,6,4,4,3,1,3,3,3,3,3,6,2,3,2,5,6,3,4,3,3,4,3,6,I recently received my booster/third dose of the Pfizer COVID vaccine and experience slight but trivial side effects from it.,10,0,5dec1c522911273179e44dbe
328,R_2zTiy9tsc0BHjHu,5d59d1c4f6a63300198681e8,45,Female,No,White/Caucasian, ,High school (or GED),"$0 - 14,999",5,2,4,4,1,4,4,2,4,4,2,4,4,2,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,5,4,1,5,3,2,2,5,3,3,3,5,1,5,4,2,5,4,3,3,4,5,2,4,3,4,5,5,3,4,3,4,3,4,"I believe in not exposing my child to Covid whenever possible, His father is happy to expose our child to covid.",4,7,5d59d1c4f6a63300198681e8
280,R_12u5UfWm5Dw3kWf,5910a67f5a530d00011f9561,53,Female,No,White/Caucasian, ,High school (or GED),"$0 - 14,999",4,1,6,5,1,3,3,2,6,3,2,5,5,1,3,6,7,7,6,6,7,7,7,7,7,7,6,7,6,5,7,7,5,1,7,3,4,1,4,3,3,4,3,4,7,5,2,2,4,3,4,5,7,2,7,5,6,7,2,4,4,6,7,5,5,I have not had the virus.,10,1,5910a67f5a530d00011f9561
382,R_1LHkgO1CiGoljXS,6101bba007efd3120e552332,28,Female,No,White/Caucasian, ,Master's degree,"$85,000 +",5,2,5,4,2,4,3,3,5,5,3,4,4,2,4,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,7,3,3,5,4,4,3,3,6,3,3,5,5,5,4,3,4,6,5,4,5,3,5,5,2,6,3,3,4,4,6,I like the distance from people but my job has not changed,5,5,6101bba007efd3120e552332
333,R_3MzdlBxvQiVFofN,5eda4bab334f1b629cbc89db,34,Male,No,White/Caucasian, ,High school (or GED),"$85,000 +",4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,5,5,5,4,3,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,4,6,2,3,4,6,6,3,3,3,5,3,3,3,4,4,4,5,6,5,3,5,5,5,3,5,5,3,3,3,Recent news coming out removing mask mandates for schools. It’s a situation I am experiencing directly as we have a child who is unable to get vaccinated,1,6,5eda4bab334f1b629cbc89db
705,R_1MYRHjOreyWziGN,6106dff95e2948f146c25d10,21,Female,No,White/Caucasian, ,High school (or GED),"$85,000 +",5,2,5,3,2,3,3,2,5,5,3,3,5,2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,2,5,2,5,2,5,3,1,2,3,2,5,3,2,2,2,2,1,2,6,1,7,3,4,6,5,5,5,4,3,3,6,Wearing masking while on campus and during class.,2,8,6106dff95e2948f146c25d10
263,R_3KmR7o1BBOXGxFv,5d118de2c80b57001721f93e,28,Male,Yes,White/Caucasian, ,High school (or GED),"$25,000 - 34,999",3,3,5,5,4,4,4,5,4,5,4,5,4,4,5,6,6,7,7,6,6,6,6,7,6,7,6,6,7,6,6,6,6,2,1,2,2,2,2,2,2,2,3,2,1,1,1,3,2,2,4,5,6,3,2,2,3,3,3,5,3,2,1,2,6,"I lost my job during the beginning of COVID, and just 2 weeks ago I got a new job at a different company. It's been a pretty huge adjustment, as I had worked at that previous company for about 6 years. The first week I actually wanted to quit, I didn't think I'd be able to do the job properly or really understand things. However, the second week made me a lot more confident and I'm now excited when I go into training every day.",4,6,5d118de2c80b57001721f93e
1396,R_3Hoypa91rVPaHPN,5fc3add5bd42c6237093b1fe,20,Male,No,Black/African-American, ,High school (or GED),"$85,000 +",4,2,5,3,2,3,4,3,4,4,3,4,4,2,3,6,6,6,6,5,6,6,6,6,5,5,6,6,5,6,6,6,6,3,5,6,6,2,3,4,3,2,3,3,5,5,2,2,5,3,4,4,5,5,5,4,3,4,4,6,1,3,3,3,6, ,3,3,5fc3add5bd42c6237093b1fe
425,R_3FP3XRY2NrJOXkW,60e67fac8d116bb293e74eda,23,Female,No,White/Caucasian, ,High school (or GED),"$65,000 - 74,999",6,1,6,6,2,6,1,4,4,6,3,4,6,1,1,7,7,7,7,1,7,6,7,7,7,7,2,7,7,6,7,7,3,1,3,6,5,1,4,6,2,1,6,1,6,3,1,4,1,1,1,5,7,1,6,1,4,3,1,5,1,1,3,4,7,Having a hard time being a mom with a baby during pandemic,10,4,60e67fac8d116bb293e74eda
658,R_QbkQXs7xC32bbEJ,5f0a768d79e052185602759b,27,Female,No,Asian, ,Bachelor's degree,"$75,000 - 84,999",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,5,5,3,3,5,5,5,4,6,2,5,5,3,5,4,3,3,5,4,3,3,3,5,3,5,5,5,4,3,5,4,4,2,2,2,2,2,2,2,4,2,2,5,5,5,"I have COVID-19 right now, myself, and am experiencing a few symptoms, to a moderate degree.",0,10,5f0a768d79e052185602759b
664,R_3scCesIXBMFNkdH,5ba840fe26605b00013c8124,41,Female,No,White/Caucasian, ,High school (or GED),"$25,000 - 34,999",4,2,5,5,2,5,5,2,3,5,3,3,4,3,5,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,5,2,4,2,1,2,4,3,3,4,3,2,6,2,2,5,2,2,1,3,7,1,6,2,2,6,3,4,2,3,2,6,5,"My aunt had COVID and the hospital wanted to put her on a ventilator instead of using drugs to treat her. Fortunately, her son got in touch with the admin, and they then treated her.",8,1,5ba840fe26605b00013c8124
591,R_3FUR5YmDItEZOGC,5f8564e35185820008e112da,27,Male,No,White/Caucasian, ,Bachelor's degree,"$45,000 - 54,999",4,2,5,4,2,4,3,3,4,3,3,3,4,1,5,6,6,6,6,3,6,6,6,6,6,6,6,6,2,3,6,6,2,5,2,3,4,4,5,5,2,3,5,3,5,3,2,5,5,2,4,3,3,3,2,3,3,6,3,1,5,5,3,3,5,I am currently sitting at my desk at home taking this survey - I guess I started doing these types of surveys during the beginning of the whole Covid ordeal so I guess that could be construed as being related to covid,7,3,5f8564e35185820008e112da
609,R_YQc49fFtB1mD1Ul,5efdb606c4efc321289cb3be,23,Male,No,White/Caucasian, ,High school (or GED),"$15,000 - 24,999",5,4,5,5,3,3,2,2,5,2,4,6,4,2,4,6,6,5,5,4,5,6,5,5,6,5,6,6,6,5,5,5,3,4,5,3,5,3,4,4,1,1,4,5,5,5,5,5,3,2,3,2,3,3,5,5,3,4,6,5,2,4,5,3,5,I go to the grocery store. where mask aren't required. some people wear them and some don't,4,5,5efdb606c4efc321289cb3be
460,R_1n7KlH7o7DYpVIK,59dc4083ae9f950001d83b4b,49,Female,No,White/Caucasian, ,Master's degree,"$0 - 14,999",4,2,5,5,2,4,4,4,5,5,2,5,5,2,5,5,5,5,5,2,6,6,5,5,5,6,5,6,6,5,6,6,5,5,5,2,6,5,6,3,3,2,4,2,3,2,2,2,3,3,2,6,4,2,4,3,3,4,6,5,3,2,3,4,5,I am still really concerned about COVID.  I choose to continue masking and self-distancing as much as possible.,2,6,59dc4083ae9f950001d83b4b
952,R_214DAqLCMsIbo9Z,61077d33fa52e0e5aed87ae4,20,Female,No,White/Caucasian, ,High school (or GED),"$85,000 +",6,2,4,3,1,4,4,3,3,4,5,2,4,1,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,6,5,5,5,3,4,4,3,2,4,1,5,4,1,2,1,2,6,3,5,6,5,4,3,6,6,5,2,2,5,6,7,My university is lifting its indoor mask mandate next week for the first time in almost two years.,6,7,61077d33fa52e0e5aed87ae4
528,R_yCQdrpu84qq0OSR,5f52682826475e5116d539be,26,Female,No,White/Caucasian, ,Bachelor's degree,"$85,000 +",3,2,5,5,1,5,6,4,4,5,5,5,6,2,5,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,6,2,3,3,2,5,6,2,2,3,5,1,4,3,1,2,2,1,1,1,2,2,6,2,2,3,4,2,3,2,3,6,6,"Tomorrow will be the first day that I go back to work since my city has lifted the vaccine mandate for customers. I am feeling uneasy about this because knowing that I was interacting with so many people at once was anxiety-inducing; however, knowing they were all vaccinated provided some initial relief",0,9,5f52682826475e5116d539be
498,R_2duLcUkZKOKl4Wr,6138f6e6cca9f1a91166f2dc,21,Female,No,White/Caucasian, ,High school (or GED),"$85,000 +",5,3,5,5,1,5,5,2,5,4,5,2,4,1,6,5,6,6,6,2,6,6,6,6,5,5,5,5,5,5,6,5,3,3,2,3,5,2,3,2,6,4,2,2,5,5,1,3,2,4,5,5,5,2,5,1,2,2,2,5,2,2,3,3,5,"I have to wear a mask whenever I am in buildings on campus, and all students must be vaccinated or boosted (all of which I agree with).",9,0,6138f6e6cca9f1a91166f2dc
312,R_3gN4AqnACeZTSJl,6121bf8a18ff7653c779e4a4,33,Male,Yes,White/Caucasian, ,High school (or GED),"$85,000 +",5,3,4,6,3,4,5,3,2,4,3,3,5,3,5,6,6,7,6,6,6,6,6,6,6,6,6,6,6,5,6,7,5,5,5,2,5,6,6,3,3,5,5,5,6,5,6,6,5,3,7,5,2,2,5,4,5,5,5,5,2,4,6,6,6,I recently had a child with my wife and we had to deal with COVID protocols which meant no visitors or anything like that,8,2,6121bf8a18ff7653c779e4a4
612,R_1BSgA6waESTmm7c,6110ce5a05a190c6f2bd9fe4,20,Female,No,White/Caucasian, ,High school (or GED),"$65,000 - 74,999",4,2,4,4,2,2,3,2,4,4,3,3,5,2,4,6,6,6,6,5,6,6,6,6,5,6,5,5,6,5,6,5,5,6,3,5,5,6,5,5,5,5,5,5,5,6,5,3,2,3,5,5,5,3,5,2,3,4,5,4,5,6,5,5,4,"My brother and dad tested positive for covid, but recovered quickly.",4,5,6110ce5a05a190c6f2bd9fe4
639,R_1Cg5JGuhjAmKWoW,5fc389e2c42314669487410a,52,Female,No,White/Caucasian, ,High school (or GED),"$0 - 14,999",6,4,6,6,4,6,5,6,6,6,6,6,6,6,6,7,7,7,6,7,7,7,6,7,7,7,7,6,7,1,7,7,7,7,5,2,1,7,7,1,1,1,7,1,6,6,7,5,7,1,4,6,6,1,4,7,1,2,6,4,1,1,2,7,7,"Covid is still a daily problem for  me personally, because of my health problems; irregardless of the level of threat it is right now.",0,10,5fc389e2c42314669487410a
354,R_TuTgHdpoKppZNnj,5f4828d5ac8a902d7e4d56e2,39,Female,No,White/Caucasian, ,High school (or GED),"$65,000 - 74,999",4,2,5,5,2,3,2,2,5,5,2,4,5,2,4,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,5,3,2,6,5,2,2,4,3,5,3,5,3,5,3,3,2,5,3,3,2,2,3,3,2,6,3,2,3,5,5,STill having to wear masks at work everyday because people refuse to be vaccinated is so exhausting,3,9,5f4828d5ac8a902d7e4d56e2
560,R_1n8FO6WH4EpkHZb,614e8467b95e7056b6f06edc,29,Male,Yes,Unknown/Do not wish to answer, ,Bachelor's degree,"$55,000 - 64,999",2,1,5,2,1,2,2,1,4,4,4,3,5,2,5,7,7,7,7,7,7,6,7,7,6,6,7,6,6,7,7,7,6,3,3,5,6,4,6,2,2,5,4,3,4,5,3,6,6,2,2,7,6,4,6,6,4,7,4,2,2,1,2,3,7,I got my COVID booster shot and the side effects left me exhausted for an entire day.,5,5,614e8467b95e7056b6f06edc
